symbol	panels	version
AAAS	RGDI	RGDI_v1
AARS1	RGDI	RGDI_v1
AARS2	MITN	MITN_v1
AASS	RGDI	RGDI_v1
ABAT	MITN	MITN_v1
ABCB7	MITN	MITN_v1
ABCC9	RGDI	RGDI_v1
ABCD1	RGDI	RGDI_v1
ABCD4	RGDI	RGDI_v1
ABHD5	RGDI	RGDI_v1
ACAD9	MITN,RGDI	MITN_v1,RGDI_v1
ACADM	RGDI	RGDI_v1
ACADS	RGDI	RGDI_v1
ACADVL	RHAB,MMG	RHAB_v1,MMG_v1
ACO2	MITN,RGDI	MITN_v1,RGDI_v1
ACOX1	RGDI	RGDI_v1
ACSL4	RGDI	RGDI_v1
ACTA1	MYOC,MMG	MYOC_v1,MMG_v1
ACTB	RGDI	RGDI_v1
ACTG1	RGDI	RGDI_v1
ACTL6A	RGDI	RGDI_v1
ACTL6B	RGDI	RGDI_v1
ACTN2	MYOC,MMG	MYOC_v1,MMG_v1
ACY1	RGDI	RGDI_v1
ADAR	RGDI	RGDI_v1
ADAT3	RGDI	RGDI_v1
ADGRG1	RGDI	RGDI_v1
ADK	RGDI	RGDI_v1
ADNP	RGDI	RGDI_v1
ADSL	RGDI	RGDI_v1
ADSS1	MYOC,MMG	MYOC_v1,MMG_v1
AFF2	RGDI	RGDI_v1
AFF4	RGDI	RGDI_v1
AFG3L2	MITN,RGDI	MITN_v1,RGDI_v1
AGA	RGDI	RGDI_v1
AGK	MITN	MITN_v1
AGL	MMG	MMG_v1
AGPS	RGDI	RGDI_v1
AGRN	MYAC,MMG	MYAC_v1,MMG_v1
AHDC1	RGDI	RGDI_v1
AHI1	RGDI	RGDI_v1
AIFM1	MITN,RGDI	MITN_v1,RGDI_v1
AIMP1	RGDI	RGDI_v1
AKT3	RGDI	RGDI_v1
ALDH18A1	RGDI	RGDI_v1
ALDH3A2	RGDI	RGDI_v1
ALDH4A1	RGDI	RGDI_v1
ALDH5A1	RGDI	RGDI_v1
ALDH7A1	RGDI	RGDI_v1
ALG1	RGDI	RGDI_v1
ALG11	RGDI	RGDI_v1
ALG12	RGDI	RGDI_v1
ALG13	RGDI	RGDI_v1
ALG3	RGDI	RGDI_v1
ALG6	RGDI	RGDI_v1
ALG8	RGDI	RGDI_v1
ALKBH8	RGDI	RGDI_v1
ALMS1	RGDI	RGDI_v1
AMER1	RGDI	RGDI_v1
AMPD2	RGDI	RGDI_v1
AMT	RGDI	RGDI_v1
ANKH	RGDI	RGDI_v1
ANKRD11	RGDI	RGDI_v1
ANO10	MITN	MITN_v1
ANO5	DYSM,RHAB,MMG	DYSM_v1,RHAB_v1,MMG_v1
AP1S1	RGDI	RGDI_v1
AP1S2	RGDI	RGDI_v1
AP2M1	RGDI	RGDI_v1
AP3B1	RGDI	RGDI_v1
AP3B2	RGDI	RGDI_v1
AP4B1	RGDI	RGDI_v1
AP4E1	RGDI	RGDI_v1
AP4M1	RGDI	RGDI_v1
AP4S1	RGDI	RGDI_v1
APC2	RGDI	RGDI_v1
APTX	MITN	MITN_v1
ARCN1	RGDI	RGDI_v1
ARFGEF2	RGDI	RGDI_v1
ARG1	RGDI	RGDI_v1
ARHGEF9	RGDI	RGDI_v1
ARID1A	RGDI	RGDI_v1
ARID1B	RGDI	RGDI_v1
ARID2	RGDI	RGDI_v1
ARL13B	RGDI	RGDI_v1
ARL6	RGDI	RGDI_v1
ARMC9	RGDI	RGDI_v1
ARSA	RGDI	RGDI_v1
ARSB	RGDI	RGDI_v1
ARSL	RGDI	RGDI_v1
ARV1	RGDI	RGDI_v1
ARX	RGDI	RGDI_v1
ASAH1	RGDI	RGDI_v1
ASH1L	RGDI	RGDI_v1
ASL	RGDI	RGDI_v1
ASNS	RGDI	RGDI_v1
ASPA	RGDI	RGDI_v1
ASPM	RGDI	RGDI_v1
ASS1	RGDI	RGDI_v1
ASXL1	RGDI	RGDI_v1
ASXL2	RGDI	RGDI_v1
ASXL3	RGDI	RGDI_v1
ATAD3A	MITN,RGDI	MITN_v1,RGDI_v1
ATIC	RGDI	RGDI_v1
ATL1	RGDI	RGDI_v1
ATM	RGDI	RGDI_v1
ATN1	RGDI	RGDI_v1
ATP13A2	RGDI	RGDI_v1
ATP1A1	RGDI	RGDI_v1
ATP2A1	MYOC,MMG	MYOC_v1,MMG_v1
ATP5F1D	MITN	MITN_v1
ATP5MD	MITN	MITN_v1
ATP6AP2	RGDI	RGDI_v1
ATP6V0A2	RGDI	RGDI_v1
ATP6V1A	RGDI	RGDI_v1
ATP6V1B2	RGDI	RGDI_v1
ATP7A	RGDI	RGDI_v1
ATP8A2	RGDI	RGDI_v1
ATPAF2	MITN	MITN_v1
ATR	RGDI	RGDI_v1
ATRX	RGDI	RGDI_v1
AUH	RGDI	RGDI_v1
AUTS2	RGDI	RGDI_v1
B3GALNT2	DYSM,RGDI,MMG	DYSM_v1,RGDI_v1,MMG_v1
B3GLCT	RGDI	RGDI_v1
B4GALNT1	RGDI	RGDI_v1
B4GALT7	RGDI	RGDI_v1
B4GAT1	DYSM,MMG	DYSM_v1,MMG_v1
BAG3	DYSM,MMG	DYSM_v1,MMG_v1
BBS1	RGDI	RGDI_v1
BBS10	RGDI	RGDI_v1
BBS12	RGDI	RGDI_v1
BBS2	RGDI	RGDI_v1
BBS4	RGDI	RGDI_v1
BBS5	RGDI	RGDI_v1
BBS7	RGDI	RGDI_v1
BBS9	RGDI	RGDI_v1
BCAP31	RGDI	RGDI_v1
BCKDHA	RGDI	RGDI_v1
BCKDHB	RGDI	RGDI_v1
BCKDK	RGDI	RGDI_v1
BCL11A	RGDI	RGDI_v1
BCL11B	RGDI	RGDI_v1
BCOR	RGDI	RGDI_v1
BCS1L	MITN,RGDI	MITN_v1,RGDI_v1
BIN1	MYOC,MMG	MYOC_v1,MMG_v1
BLM	RGDI	RGDI_v1
BMP4	RGDI	RGDI_v1
BOLA3	MITN,RGDI	MITN_v1,RGDI_v1
BPTF	RGDI	RGDI_v1
BRAF	RGDI	RGDI_v1
BRAT1	RGDI	RGDI_v1
BRD4	RGDI	RGDI_v1
BRF1	RGDI	RGDI_v1
BRPF1	RGDI	RGDI_v1
BRSK2	RGDI	RGDI_v1
BRWD3	RGDI	RGDI_v1
BSCL2	RGDI	RGDI_v1
BTD	MITN,RGDI	MITN_v1,RGDI_v1
BUB1B	RGDI	RGDI_v1
BVES	DYSM,MMG	DYSM_v1,MMG_v1
C12orf4	RGDI	RGDI_v1
C12orf57	RGDI	RGDI_v1
C12orf65	RGDI	RGDI_v1
C1QBP	MITN	MITN_v1
CA2	RGDI	RGDI_v1
CA5A	MITN	MITN_v1
CA8	RGDI	RGDI_v1
CACNA1A	RGDI	RGDI_v1
CACNA1B	RGDI	RGDI_v1
CACNA1C	RGDI	RGDI_v1
CACNA1D	RGDI	RGDI_v1
CACNA1E	RGDI	RGDI_v1
CACNA1G	RGDI	RGDI_v1
CACNA1S	MYOC,RHAB,HYPM,MMG	HYPM_v1,RHAB_v1,MYOC_v1,MMG_v1
CAD	RGDI	RGDI_v1
CAMK2A	RGDI	RGDI_v1
CAMK2B	RGDI	RGDI_v1
CAMTA1	RGDI	RGDI_v1
CAPN3	DYSM,MMG	DYSM_v1,MMG_v1
CARS1	RGDI	RGDI_v1
CARS2	MITN	MITN_v1
CASK	RGDI	RGDI_v1
CASQ1	DYSM,MYOC,MMG	DYSM_v1,MYOC_v1,MMG_v1
CAV3	DYSM,RHAB,MMG	DYSM_v1,RHAB_v1,MMG_v1
CBL	RGDI	RGDI_v1
CBS	RGDI	RGDI_v1
CC2D1A	RGDI	RGDI_v1
CC2D2A	RGDI	RGDI_v1
CCBE1	RGDI	RGDI_v1
CCDC22	RGDI	RGDI_v1
CCDC47	RGDI	RGDI_v1
CCDC78	MYOC,MMG	MYOC_v1,MMG_v1
CCDC88C	RGDI	RGDI_v1
CCND2	RGDI	RGDI_v1
CDC42	RGDI	RGDI_v1
CDC6	RGDI	RGDI_v1
CDH11	RGDI	RGDI_v1
CDH15	RGDI	RGDI_v1
CDK10	RGDI	RGDI_v1
CDK13	RGDI	RGDI_v1
CDK5RAP2	RGDI	RGDI_v1
CDK8	RGDI	RGDI_v1
CDKL5	RGDI	RGDI_v1
CDON	RGDI	RGDI_v1
CENPF	RGDI	RGDI_v1
CENPJ	RGDI	RGDI_v1
CEP135	RGDI	RGDI_v1
CEP152	RGDI	RGDI_v1
CEP290	RGDI	RGDI_v1
CEP41	RGDI	RGDI_v1
CEP57	RGDI	RGDI_v1
CEP83	RGDI	RGDI_v1
CERT1	RGDI	RGDI_v1
CFL2	MYOC,MMG	MYOC_v1,MMG_v1
CHAMP1	RGDI	RGDI_v1
CHAT	MYAC,MMG	MYAC_v1,MMG_v1
CHCHD10	MITN	MITN_v1
CHD2	RGDI	RGDI_v1
CHD3	RGDI	RGDI_v1
CHD4	RGDI	RGDI_v1
CHD7	RGDI	RGDI_v1
CHD8	RGDI	RGDI_v1
CHKB	DYSM,RGDI,MMG	DYSM_v1,RGDI_v1,MMG_v1
CHMP1A	RGDI	RGDI_v1
CHRNA1	MYAC,MMG	MYAC_v1,MMG_v1
CHRNB1	MYAC,MMG	MYAC_v1,MMG_v1
CHRND	MYAC,MMG	MYAC_v1,MMG_v1
CHRNE	MYAC,MMG	MYAC_v1,MMG_v1
CIC	RGDI	RGDI_v1
CIT	RGDI	RGDI_v1
CKAP2L	RGDI	RGDI_v1
CLCN4	RGDI	RGDI_v1
CLN3	RGDI	RGDI_v1
CLN5	RGDI	RGDI_v1
CLN6	RGDI	RGDI_v1
CLN8	RGDI	RGDI_v1
CLP1	RGDI	RGDI_v1
CLPB	MITN,RGDI	MITN_v1,RGDI_v1
CLPP	MITN	MITN_v1
CLTC	RGDI	RGDI_v1
CNKSR2	RGDI	RGDI_v1
CNNM2	RGDI	RGDI_v1
CNOT1	RGDI	RGDI_v1
CNOT2	RGDI	RGDI_v1
CNOT3	RGDI	RGDI_v1
CNTNAP2	RGDI	RGDI_v1
COA6	MITN	MITN_v1
COA7	MITN	MITN_v1
COA8	MITN,RGDI	MITN_v1,RGDI_v1
COASY	RGDI	RGDI_v1
COG1	RGDI	RGDI_v1
COG4	RGDI	RGDI_v1
COG5	RGDI	RGDI_v1
COG6	RGDI	RGDI_v1
COG7	RGDI	RGDI_v1
COG8	RGDI	RGDI_v1
COL12A1	MYOC,MMG	MYOC_v1,MMG_v1
COL13A1	MYAC,MMG	MYAC_v1,MMG_v1
COL4A1	RGDI	RGDI_v1
COL4A2	RGDI	RGDI_v1
COL6A1	DYSM,MYOC,MMG	DYSM_v1,MYOC_v1,MMG_v1
COL6A2	DYSM,MYOC,MMG	DYSM_v1,MYOC_v1,MMG_v1
COL6A3	DYSM,MYOC,MMG	DYSM_v1,MYOC_v1,MMG_v1
COLEC11	RGDI	RGDI_v1
COLQ	MYAC,MMG	MYAC_v1,MMG_v1
COQ2	MITN	MITN_v1
COQ4	MITN,RGDI	MITN_v1,RGDI_v1
COQ6	MITN	MITN_v1
COQ7	MITN	MITN_v1
COQ8A	MITN,RGDI	MITN_v1,RGDI_v1
COQ8B	MITN	MITN_v1
COQ9	MITN	MITN_v1
COX10	MITN,RGDI	MITN_v1,RGDI_v1
COX14	MITN	MITN_v1
COX15	MITN,RGDI	MITN_v1,RGDI_v1
COX16	MITN	MITN_v1
COX20	MITN	MITN_v1
COX6A1	MITN	MITN_v1
COX6A2	MITN	MITN_v1
COX6B1	MITN,RGDI	MITN_v1,RGDI_v1
COX7B	MITN	MITN_v1
CPLANE1	RGDI	RGDI_v1
CPS1	RGDI	RGDI_v1
CPT2	RHAB,MMG	RHAB_v1,MMG_v1
CRADD	RGDI	RGDI_v1
CRB2	RGDI	RGDI_v1
CREBBP	RGDI	RGDI_v1
CRYAB	DYSM,MMG	DYSM_v1,MMG_v1
CSDE1	RGDI	RGDI_v1
CSNK2A1	RGDI	RGDI_v1
CSNK2B	RGDI	RGDI_v1
CSPP1	RGDI	RGDI_v1
CSTB	RGDI	RGDI_v1
CTBP1	RGDI	RGDI_v1
CTC1	RGDI	RGDI_v1
CTCF	RGDI	RGDI_v1
CTDP1	RGDI	RGDI_v1
CTNNA2	RGDI	RGDI_v1
CTNNB1	RGDI	RGDI_v1
CTSA	RGDI	RGDI_v1
CTSD	RGDI	RGDI_v1
CUL4B	RGDI	RGDI_v1
CUX1	RGDI	RGDI_v1
CUX2	RGDI	RGDI_v1
CWC27	RGDI	RGDI_v1
CWF19L1	RGDI	RGDI_v1
CYB5R3	RGDI	RGDI_v1
CYC1	MITN,RGDI	MITN_v1,RGDI_v1
CYFIP2	RGDI	RGDI_v1
CYP2U1	RGDI	RGDI_v1
D2HGDH	RGDI	RGDI_v1
DAG1	DYSM,RGDI,MMG	DYSM_v1,RGDI_v1,MMG_v1
DARS1	RGDI	RGDI_v1
DARS2	MITN,RGDI	MITN_v1,RGDI_v1
DBT	RGDI	RGDI_v1
DCAF17	RGDI	RGDI_v1
DCHS1	RGDI	RGDI_v1
DCPS	RGDI	RGDI_v1
DCX	RGDI	RGDI_v1
DDC	RGDI	RGDI_v1
